Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"3","Albania","1357","Pesticides (total)","5157","Agricultural Use","tonnes","121.000000","121.000000","121.000000","121.000000","201.000000","251.000000","261.890000","272.780000","283.680000","294.570000","305.460000","316.350000","327.250000","338.140000","349.030000","359.920000","370.820000","381.710000","392.600000","403.490000","582.930000","574.620000","353.050000","441.530000","447.890000","590.410000","656.520000","681.140000"
"3","Albania","1309","Insecticides","5157","Agricultural Use","tonnes",,,,"70.000000","117.000000","145.000000",,,,,,,,,,,,,,"213.880000","375.800000","317.070000","157.570000","214.130000","34.480000","184.590000","226.300000","237.590000"
"3","Albania","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","tonnes",,,,"10.000000","17.000000","22.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","tonnes",,,,"30.000000","50.000000","64.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1312","Insecticides – Carbamates","5157","Agricultural Use","tonnes",,,,"14.000000","26.000000","30.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1313","Insecticides – Pyrethroids","5157","Agricultural Use","tonnes",,,,"1.000000","2.000000","2.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1315","Insecticides – Other","5157","Agricultural Use","tonnes",,,,"15.000000","22.000000","27.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1320","Herbicides","5157","Agricultural Use","tonnes",,,,"5.000000","7.000000","8.000000",,,,,,,,,,,,,,"7.970000","6.910000","19.700000","9.770000","22.330000","27.650000","40.200000","19.940000","33.280000"
"3","Albania","1321","Herbicides – Phenoxy hormone products","5157","Agricultural Use","tonnes",,,,"1.700000","2.000000","2.100000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1322","Herbicides – Triazines","5157","Agricultural Use","tonnes",,,,"0.500000","0.700000","0.900000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1323","Herbicides – Amides","5157","Agricultural Use","tonnes",,,,"0.500000","0.800000","1.000000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1324","Herbicides – Carbamates","5157","Agricultural Use","tonnes",,,,"0.100000","0.200000","0.400000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1325","Herbicides – Dinitroanilines","5157","Agricultural Use","tonnes",,,,"0.200000","0.300000","0.300000",,,,,,,,,,,,,,,,,,,,,,
"3","Albania","1328","Herbicides – Sulfonyl ureas","5157","Agricultural Use","tonnes",,,,"0.700000","1.000000","1.100000",,,,,,,,,,,,,,,,,,,,,,
